Method,Image,PSNR,SSIM,UIQM,Brightness,Contrast,Sharpness
HE,vid_000047_frame0000017.jpg,10.433632987819866,0.556004131853518,272.14055966692104,130.55663580246915,72.11424825681217,5565.494828445967
HE,vid_000047_frame0000018.jpg,10.442168811904843,0.5446148942102124,273.0872997558906,130.60162808641977,72.17912942257746,5746.256698551097
HE,vid_000047_frame0000019.jpg,10.434534242160003,0.5738438437074395,270.79875108542643,130.65962962962962,72.07084946395052,5441.8872679231445
HE,vid_000047_frame0000020.jpg,10.470181832031507,0.5230887617805585,273.5607159342764,130.57028549382716,72.05650387929865,5834.035444707302
HE,vid_000047_frame0000021.jpg,10.661057956832806,0.5511111960559599,272.9814537720136,130.36573302469137,72.17711431197587,5485.698884452101
HE,vid_000047_frame0000022.jpg,10.843359715764436,0.549173136524508,273.9106935048469,130.2570987654321,72.11787533916046,5508.877901234568
HE,vid_000047_frame0000023.jpg,11.056556969636418,0.588066742200876,272.59969464164567,130.2102237654321,72.21087354497895,5250.563878386488
HE,vid_000047_frame0000024.jpg,11.124924544252021,0.5626295990738338,274.90468307109705,130.14961419753087,72.35721982396521,5643.245288465697
HE,vid_000047_frame0000025.jpg,10.932055916208101,0.5895182378605511,272.83873906155736,130.29167438271605,72.36481060156342,5295.051686459524
HE,vid_000048_frame0000001.jpg,10.15585560327054,0.44737047446453754,279.17212990549115,130.64474537037037,72.6581834753543,6600.984844618711
HE,vid_000048_frame0000002.jpg,10.170768371918506,0.5425275460287683,274.3013691823347,130.75458333333333,72.64718649641505,5813.4535842418745
HE,vid_000048_frame0000003.jpg,10.287293721084438,0.5857414332761631,272.0426179293977,130.88539351851853,72.47341076651615,5585.283134076122
HE,vid_000048_frame0000004.jpg,10.4352821287553,0.5772314489095641,273.4027223652872,130.5056172839506,72.70269196572714,5576.488112758571
HE,vid_000048_frame0000005.jpg,10.553097478625798,0.6124887611475416,271.7695948442616,130.50069444444443,72.60951232711831,5500.230468815492
HE,vid_000048_frame0000006.jpg,10.586734327547285,0.5887413757019627,272.86772110146893,130.5158024691358,72.50497735343905,5602.415015374704
HE,vid_000048_frame0000007.jpg,10.540642483310656,0.5940582621229429,273.2004663460269,130.43368827160495,72.67180612330901,5761.187316025568
HE,vid_000048_frame0000008.jpg,10.436082185654396,0.5514682725795796,273.9885072359458,130.76987654320988,72.43646848124321,5852.897241363501
HE,vid_000048_frame0000009.jpg,10.388111200398843,0.5714495881909172,273.11708100249115,130.68760802469137,72.5002129891767,5820.336567553477
HE,vid_000048_frame0000010.jpg,10.366866227162726,0.558271193665723,273.87234626211284,130.60925925925926,72.57490632762573,5898.132105182078
HE,vid_000048_frame0000011.jpg,10.389006479516937,0.5942397191575456,271.72688126125126,130.7372685185185,72.46725218217748,5842.649121738303
HE,vid_000048_frame0000012.jpg,10.376808255146015,0.56922686225817,273.3245973238343,130.69023148148148,72.51588236172475,5972.240653283607
HE,vid_000048_frame0000013.jpg,10.47377060936006,0.5915601716755028,272.84473228412213,130.5090972222222,72.65947611777615,5722.71124365355
HE,vid_000048_frame0000014.jpg,10.584133066338913,0.577789504104013,273.04761123496036,130.68560956790122,72.48322332295821,5863.272586252513
HE,vid_000048_frame0000015.jpg,10.623424018534571,0.6022840421650097,272.73652657106487,130.64949074074073,72.68139598460888,5671.859916838135
HE,vid_000048_frame0000016.jpg,10.516063084751739,0.5997268319038445,271.9632831541906,130.642862654321,72.53855365381864,5531.940320571786
HE,vid_000048_frame0000017.jpg,10.34712833640918,0.5918840669568538,272.1389044081703,130.8339351851852,72.59030858780216,5876.618392086702
HE,vid_000048_frame0000018.jpg,10.225311053068605,0.5387244720526682,274.75865935938833,130.89637345679012,72.64765319420829,6140.006678968942
HE,vid_000048_frame0000019.jpg,10.274957214271376,0.5774559761550931,272.60221002734556,130.73342592592593,72.5804648409931,5899.093748467269
HE,vid_000048_frame0000020.jpg,10.407971584444295,0.5629384813861691,273.877122450936,130.6692901234568,72.58641007291828,5897.8251000509035
HE,vid_000048_frame0000021.jpg,10.553314337147325,0.6027035250797953,272.4918216884353,130.45540895061728,72.67084406041482,5541.7832947985735
HE,vid_000048_frame0000022.jpg,10.544865888923097,0.5642734721698027,274.21798421108195,130.56077932098765,72.62816201023712,5827.313419385799
HE,vid_000048_frame0000023.jpg,10.50329859966146,0.594199180514884,272.4203763185318,130.5745138888889,72.5631856641489,5585.12943801226
HE,vid_000048_frame0000024.jpg,10.418181783153075,0.5674836588331497,272.81581228051834,130.7579089506173,72.38660040475983,5737.300508761765
HE,vid_000048_frame0000025.jpg,10.459694611651294,0.6071102703437611,271.56520831162914,130.55631172839506,72.54643909870991,5707.477324298887
HE,vid_000048_frame0000026.jpg,10.72993992606565,0.6386542333853709,271.26276223813863,130.42513888888888,72.71207688004178,5369.203464791893
HE,vid_000048_frame0000027.jpg,11.156755762601605,0.6583913977988405,271.99892336900746,130.02765432098766,72.89343751087686,5276.00695369513
HE,vid_000048_frame0000028.jpg,11.143204910611164,0.6400859718346584,273.10474963394205,129.92639660493828,72.97516917119772,5208.293393274653
HE,vid_000048_frame0000029.jpg,11.005263977685944,0.6625409053649381,272.0586362071957,130.1764737654321,73.05553732934452,5198.278236732623
HE,vid_000049_frame0000007.jpg,10.736140568454866,0.7500732248200416,271.33761737815485,128.93217592592592,72.99605360054063,4508.782976821786
HE,vid_000049_frame0000008.jpg,10.946522680057825,0.7344575838127998,272.71182139376344,128.67918209876544,73.10458299087212,4532.034539044578
HE,vid_000049_frame0000009.jpg,11.862161328102367,0.7595722321920748,273.103818162202,128.76835648148148,72.92977473872261,4280.035214940498
HE,vid_000049_frame0000010.jpg,10.614377656048767,0.7359436917380772,271.37315531388697,128.96357253086418,72.96000653928378,4599.949795037914
HE,vid_000049_frame0000011.jpg,10.247093774449407,0.7311629321349647,271.15120482045194,128.9984336419753,72.925545950484,4832.223164448064
HE,vid_000049_frame0000012.jpg,10.47229576444776,0.7254644251515415,271.81709330652257,128.78624228395063,73.04691073006941,4644.924409407806
HE,vid_000049_frame0000013.jpg,10.921060299293154,0.7453878455783792,270.6450739625038,128.8150462962963,72.88250938904022,3947.854458435975
HE,vid_000049_frame0000015.jpg,10.073669536777551,0.7210257906663339,271.5370426551869,129.0915663580247,72.94282887174005,4896.76205040295
HE,vid_000049_frame0000016.jpg,10.069882711534051,0.7192035368101668,272.3387501673557,129.03078703703704,73.09066895697495,4773.7589294457775
HE,vid_000049_frame0000017.jpg,10.013887695333281,0.7147868652331796,272.28054580969456,129.00818672839506,73.05256649535131,4815.648725734394
HE,vid_000049_frame0000018.jpg,10.002111006202437,0.7030502163375165,273.2678660796608,128.9710648148148,73.05268464432169,4813.611636359679
HE,vid_000050_frame0000004.jpg,11.79464285478379,0.8004618594105195,271.75177440942724,128.5948688271605,72.98115252147244,4828.379864864112
HE,vid_000050_frame0000005.jpg,12.082415711969656,0.8170879566625375,271.34152016733617,128.56751543209876,73.0792172940324,4684.128517763823
HE,vid_000050_frame0000007.jpg,12.972971003146315,0.8327039583875981,271.7659023414588,128.5284336419753,73.21573584605035,4367.370121164599
HE,vid_000050_frame0000008.jpg,12.16774390378701,0.8244183528519627,271.11765953978096,128.53979938271604,73.2393090792383,4211.542642784959
HE,vid_000050_frame0000009.jpg,11.980108535291906,0.7880506188343404,273.8693791903153,128.58979166666666,73.21378761350799,4434.74189464586
HE,vid_000050_frame0000010.jpg,12.188159763229594,0.7823139528118078,274.6265454831202,128.58935956790123,73.1055323947475,4637.8852669490525
HE,vid_000050_frame0000011.jpg,12.422108443562855,0.7950816042099044,274.37965137905456,128.58931327160494,73.19159588589868,4448.763989767602
HE,vid_000050_frame0000012.jpg,12.1997117631727,0.7631609200732364,276.49279568781327,128.59912037037037,73.1429431241038,4677.328206168017
HE,vid_000050_frame0000013.jpg,12.215841908565114,0.7457277430965007,278.9545805802135,128.54506944444444,73.21078811570706,4845.773851004991
HE,vid_000050_frame0000014.jpg,11.840129260259246,0.723292377267529,279.90785863092714,128.53887345679013,73.2440420277176,4847.182496450082
HE,vid_000050_frame0000015.jpg,12.039153925725474,0.7243937990662482,280.4158580336407,128.5112962962963,73.25958136163882,4946.980877897747
HE,vid_000050_frame0000016.jpg,12.15496674159098,0.7313694903771494,280.2059554703549,128.64775462962962,73.23826501071213,4896.779450731358
HE,vid_000050_frame0000017.jpg,12.199239502005128,0.7204785639909955,280.9735770987229,128.64148919753086,73.27389286689161,5053.573149948501
HE,vid_000050_frame0000018.jpg,11.789648395422871,0.7130985900359904,279.836895405524,128.67877314814814,73.3110087023199,4823.536987225413
HE,vid_000050_frame0000019.jpg,11.214111683328378,0.7028893945472873,278.4233046613545,128.77556327160494,73.2095110367592,4653.179043114081
HE,vid_000050_frame0000020.jpg,11.00248104593923,0.6751958677451034,279.86274355598994,128.8118287037037,73.12919630602896,5160.972332065841
HE,vid_000050_frame0000021.jpg,11.111706811071183,0.6888757419146723,278.82659868018897,128.7617438271605,73.15381062314842,5035.479623198101
HE,vid_000050_frame0000022.jpg,11.035114759107321,0.682139198208667,279.6423529090756,128.5777700617284,73.24332576910155,5211.442568927899
HE,vid_000050_frame0000023.jpg,10.967474925413057,0.696130488634929,277.9020002638227,128.66866512345678,73.16663793707075,4980.703470221527
HE,vid_000050_frame0000024.jpg,10.904568859120511,0.6964283462292875,277.60033497145275,128.716875,73.11757276274874,5047.619254214297
HE,vid_000051_frame0000016.jpg,11.220212423320046,0.6951248146789623,274.2015288338813,128.86706790123458,73.0107668919012,4325.2736749099195
HE,vid_000052_frame0000021.jpg,12.74083906561836,0.712387702308793,273.63761844918224,128.9905709876543,72.44768219150207,4534.292019741418
HE,vid_000052_frame0000022.jpg,12.70315312154189,0.6946849819006222,274.3864697918418,129.05560956790123,72.34644552930094,4781.0666089505585
HE,vid_000052_frame0000023.jpg,12.657153641494386,0.69554277202635,273.557480590928,129.07531635802468,72.27233153946203,4659.525461808176
HE,vid_000052_frame0000025.jpg,14.349486601471215,0.7400150948053591,278.3211574729427,128.7552777777778,72.92453620973068,4881.414180197377
HE,vid_000052_frame0000027.jpg,13.661132098710283,0.7195718762283971,278.6168272064023,128.82289351851853,72.83639072503368,4764.016955027757
HE,vid_000052_frame0000029.jpg,13.271209299252924,0.7175829834949098,276.7027015252827,128.94406635802468,72.7379575931491,4559.677185527168
HE,vid_000052_frame0000031.jpg,12.896133544765867,0.705447136095187,277.01117343389984,128.89440586419752,72.75530133967305,4731.139497974537
HE,vid_000052_frame0000033.jpg,12.991727142260066,0.6769527033683592,279.3234655027427,128.98123456790123,72.76575093386771,5268.818533499979
HE,vid_000052_frame0000035.jpg,13.273298364539736,0.711577266053904,278.5845663914886,128.9925385802469,72.88802124022074,5097.954619307269
HE,vid_000052_frame0000037.jpg,13.150346162247883,0.6589402316793976,282.766919159989,129.02814814814815,73.02594041238945,5650.271172772289
HE,vid_000052_frame0000039.jpg,13.009631611117689,0.662326254364724,281.99064695141715,129.00505401234568,73.15073783042773,5671.259903051888
HE,vid_000052_frame0000041.jpg,13.434732222722769,0.6555289506299031,284.180525999503,128.9550462962963,73.0570216424355,6303.8227877728605
HE,vid_000052_frame0000043.jpg,13.424373798739689,0.6442804272205805,284.54735803169314,128.94664351851853,73.11695550559304,6119.6910593477905
HE,vid_000052_frame0000045.jpg,12.562005960804663,0.6672238695807752,281.5607825894971,129.06868055555555,72.97589656159727,5914.46358272367
HE,vid_000052_frame0000047.jpg,12.630181528863954,0.659320748238231,281.9971410114482,129.0030324074074,72.87015647925205,5933.049213725041
HE,vid_000052_frame0000049.jpg,12.790157427756448,0.650359936253388,282.5389671138738,128.99966049382715,72.9621575549265,5686.05518991716
HE,vid_000052_frame0000051.jpg,12.779734817403634,0.5857972877115166,290.20840538295136,129.1519135802469,73.28782927047106,6637.146688580247
HE,vid_000052_frame0000052.jpg,12.737945806804479,0.5443667874677062,294.67521570548416,129.2555324074074,73.47244478716888,7392.922906767023
HE,vid_000052_frame0000054.jpg,12.98642351988624,0.593431593486681,293.5424214002232,129.06546296296295,73.51006180668536,7984.688027517659
HE,vid_000052_frame0000056.jpg,13.75610433333273,0.6498098587183181,292.0535666637426,128.81054783950617,73.43994089093529,7589.212922131665
HE,vid_000052_frame0000058.jpg,13.9699620123077,0.5896964718617607,297.44198440499025,128.9069598765432,73.50918048203481,8299.794864176038
HE,vid_000052_frame0000060.jpg,15.043469418890563,0.6963248895890093,296.9884672656372,128.65212191358026,73.70951854649104,7453.011915635717
HE,vid_000052_frame0000062.jpg,14.94580657088301,0.6656924683206332,297.91291696430153,128.63869598765433,73.60059080691344,8489.416431348534
HE,vid_000052_frame0000064.jpg,15.29234169637048,0.6650082751487191,298.42160753814403,128.59168209876543,73.58014456794496,8262.164873530855
HE,vid_000052_frame0000066.jpg,15.010849315830404,0.6581838584289154,294.8291806836036,128.66967592592593,73.57745429863563,7220.978640814985
HE,vid_000052_frame0000068.jpg,15.045140689731571,0.6487361707241922,297.74262201432526,128.6876851851852,73.61046963795738,8371.63740120593
HE,vid_000052_frame0000070.jpg,16.59333234311649,0.7914612467958705,293.47885200228166,128.42774691358025,73.61946270349141,6825.556305208811
HE,vid_000052_frame0000072.jpg,17.018813944831056,0.7793213897830275,293.4727951236657,128.4519598765432,73.69523656766306,6682.192590942154
HE,vid_000052_frame0000074.jpg,17.002929238301903,0.7355570820237437,296.96787301092206,128.5189814814815,73.7222967064827,7603.832642510609
HE,vid_000052_frame0000076.jpg,17.223360482454108,0.7270678498284612,294.7787304547708,128.48689043209876,73.70275436494036,6393.75003735848
HE,vid_000052_frame0000078.jpg,17.689848855079056,0.7502436142809126,298.0466680774818,128.43519290123456,73.72885183732231,7658.567516643745
HE,vid_000052_frame0000080.jpg,17.939763534570083,0.7697046128117933,297.13898651478064,128.41972222222222,73.72883933660451,7334.520407426459
HE,vid_000052_frame0000082.jpg,18.931773983778967,0.8388202752087534,292.32300955366634,128.28293981481482,73.60143216660103,6218.2764025596325
HE,vid_000052_frame0000084.jpg,19.418399058308417,0.8190739539736284,294.8922909752406,128.2952700617284,73.69776429577485,6833.624417151003
HE,vid_000052_frame0000086.jpg,19.584924141208752,0.8494264722608221,291.8963475870728,128.3187577160494,73.70416439228772,6193.730592695236
HE,vid_000052_frame0000087.jpg,19.79080747670527,0.8627796126399566,293.7157428607991,128.24053240740741,73.66100410212873,6871.064672450786
HE,vid_000052_frame0000089.jpg,19.59976609313439,0.8596737922918073,294.6629783369199,128.24516203703703,73.6985395617753,7394.046153059747
HE,vid_000052_frame0000091.jpg,19.73577448956387,0.8658562955465884,294.36638291629197,128.19813271604937,73.62748383683149,7497.592126722715
HE,vid_000053_frame0000001.jpg,14.917275812263123,0.7045398907542855,299.0637728079111,128.59484567901234,73.49504487774072,10484.92840853618
HE,vid_000053_frame0000002.jpg,14.912749866884532,0.7049204299439985,299.11728692278257,128.57047839506174,73.52359841259519,10464.083242095276
HE,vid_000053_frame0000003.jpg,14.912478347547058,0.7084362491134905,298.83442927827866,128.6004861111111,73.50547479869088,10521.506614214439
HE,vid_000053_frame0000004.jpg,14.924860968447152,0.7018830185094904,300.0707436312199,128.58538580246915,73.52969371222,10905.228155715355
HE,vid_000053_frame0000005.jpg,14.924105254643658,0.7034902622981362,299.8061701904037,128.6647762345679,73.52703066003285,10785.166735724773
HE,vid_000053_frame0000012.jpg,14.927117836257462,0.702593499436576,300.1593065321536,128.69175154320988,73.5481735544638,10686.094310428038
HE,vid_000053_frame0000013.jpg,14.937558169023774,0.7074069487013288,299.10139260742164,128.6318672839506,73.52466718791386,10416.331816529433
HE,vid_000053_frame0000014.jpg,14.92201536099634,0.7016984663344027,299.8443084132097,128.60208333333333,73.49145534009652,10846.66425036288
HE,vid_000053_frame0000015.jpg,14.917316254448886,0.7024724983322584,299.9940806412993,128.62747685185184,73.55649199822093,10560.457165199128
HE,vid_000053_frame0000016.jpg,14.885434621927708,0.7025829961004382,299.3430449866177,128.64915895061728,73.54353137958694,10355.609334657387
HE,vid_000053_frame0000017.jpg,14.919607678427901,0.7052067018273487,299.4101823139302,128.6084490740741,73.50264344727069,10546.121461329198
HE,vid_000053_frame0000018.jpg,14.926109700247858,0.7013343219309797,299.93833682561836,128.64653549382717,73.49123715003631,10807.306998765433
HE,vid_000053_frame0000035.jpg,14.917285922774257,0.7030694843930206,299.6911389001327,128.65905864197532,73.50009317859394,10483.192887172068
HE,vid_000053_frame0000040.jpg,14.900776919656389,0.7044510095545936,299.38640663588563,128.56503086419752,73.53202889947428,10473.075751241653
HE,vid_000054_frame0000001.jpg,14.794355807495997,0.7266201490733418,292.254967570479,128.5761651234568,73.56316500239957,9202.268309100116
HE,vid_000054_frame0000002.jpg,14.800843590141163,0.7284926812826716,292.22479836606374,128.50996913580246,73.60996336211483,9095.216865354938
HE,vid_000054_frame0000003.jpg,14.8282426523636,0.7350336993227812,291.85628324606125,128.56810185185185,73.60849518061796,8989.424124271203
HE,vid_000054_frame0000004.jpg,14.80573025185465,0.7320587069566126,292.15035897814835,128.65680555555556,73.5792126587023,9046.217641346533
HE,vid_000054_frame0000005.jpg,14.835137067639918,0.7367786915874476,291.7783214638652,128.53311728395062,73.58111620860859,8891.761529492454
HE,vid_000054_frame0000006.jpg,14.763698961179001,0.7379509247595065,291.10819124084276,128.54103395061728,73.59019198465481,8810.47480192044
HE,vid_000054_frame0000008.jpg,14.609011828851607,0.7043824075054682,286.6300962967691,128.78999228395062,73.54407383637759,7066.655499788286
HE,vid_000054_frame0000015.jpg,14.350335278630386,0.7082599393171037,288.70386936462626,128.7845061728395,73.55704018770663,7745.243036049608
HE,vid_000054_frame0000018.jpg,14.406397738164703,0.7261271491902496,288.86139564950105,128.68534722222222,73.60773680811108,7753.600398330094
HE,vid_000054_frame0000020.jpg,14.37589068165741,0.7258408651204027,288.17047914410216,128.68712191358026,73.61451166707587,7364.266747427448
HE,vid_000054_frame0000024.jpg,14.308188244119659,0.7186798874783267,288.73194627847175,128.67239969135804,73.5155108808666,7554.828792604917
HE,vid_000054_frame0000035.jpg,14.389112944262866,0.6956352722929081,288.62322305691174,128.8588425925926,73.69232237523438,7511.650203505981
HE,vid_000054_frame0000036.jpg,14.32432534171439,0.692733349186781,287.9940113422228,128.85032407407408,73.64578829881744,7393.564049896881
HE,vid_000054_frame0000041.jpg,14.977453174842076,0.76213200447847,290.7804186775437,128.59520061728395,73.47449562827991,8124.869838188669
HE,vid_000055_frame0000001.jpg,12.091520447613377,0.7612400448480314,288.2814249318677,128.42178240740742,73.31415127429314,4655.664453565578
HE,vid_000055_frame0000005.jpg,13.565429200603328,0.8036501768769915,283.4082218857331,128.2978549382716,73.09287482605251,3383.853137444749
HE,vid_000055_frame0000015.jpg,13.010641366201114,0.7254613429451134,285.7502144635812,128.32074074074075,72.91682430929461,4221.692968053412
HE,vid_000055_frame0000020.jpg,12.505220890421578,0.717390484093845,283.8860405341982,128.41941358024692,72.7095255848037,3723.4140160831403
