Method,Image,PSNR,SSIM,UIQM,Brightness,Contrast,Sharpness
FUNIEGAN,vid_000123_frame0000030.jpg,16.286849056063588,0.6894973881261297,211.3665338728926,122.78837962962963,53.852771982064006,2926.1264740681204
FUNIEGAN,vid_000123_frame0000043.jpg,16.454371699389473,0.7164460536557572,203.65997849289477,113.18001543209877,52.36015076042164,2589.5809996641497
FUNIEGAN,vid_000123_frame0000044.jpg,16.4164557399334,0.7140748415885559,208.75698233180765,115.6495524691358,53.717044402755604,2619.2178502180855
FUNIEGAN,vid_000126_frame0000013.jpg,18.289905684125955,0.8026016118373529,186.4362897845296,110.34992283950618,48.101169023359496,2862.047120979081
FUNIEGAN,vid_000126_frame0000014.jpg,18.212657586277366,0.786255131031741,186.04254695475993,108.05831790123457,47.849126573399545,2895.687345679012
FUNIEGAN,vid_000126_frame0000015.jpg,18.116887989186445,0.7962322213791279,188.69175579125127,109.33996141975308,48.71088796961759,2816.018563975992
FUNIEGAN,vid_000126_frame0000025.jpg,17.482864397041176,0.8043335691700481,171.48494837191706,108.52135030864197,43.67574464971983,3040.8395761828897
FUNIEGAN,vid_000127_frame0000035.jpg,18.360831245354962,0.8501024568233603,140.253751713552,106.90875,35.5530727081789,2839.9989554349922
FUNIEGAN,vid_000127_frame0000036.jpg,18.581831292069385,0.8559703697758438,148.20747955276343,110.59131944444445,37.85914717682633,2826.7702530140223
FUNIEGAN,vid_000127_frame0000037.jpg,18.534659485999104,0.8459947655375343,155.77168566856784,110.55653549382716,39.88691787188106,2873.3474766584154
FUNIEGAN,vid_000132_frame0000014.jpg,18.25335236499152,0.7746109521789837,149.04345428034196,110.5588425925926,36.13021217753559,4082.0499980661643
FUNIEGAN,vid_000132_frame0000015.jpg,18.33162937576365,0.7744906989056383,150.66101537329183,112.17081018518519,36.60722662908554,3946.851454370285
FUNIEGAN,vid_000132_frame0000016.jpg,18.3355563258174,0.7865554426955282,154.93973733394833,114.31529320987654,37.74234168177571,4225.27058459642
FUNIEGAN,vid_000132_frame0000040.jpg,16.77665147337319,0.7012557531743226,212.45776500725452,124.79239969135803,50.25027512928304,6123.126946654236
FUNIEGAN,vid_000132_frame0000041.jpg,16.775446395132295,0.6976131661338206,211.17487934009966,121.62624228395062,50.12710792264214,5627.9171029089985
FUNIEGAN,vid_000132_frame0000044.jpg,17.959163614974443,0.7744822097743981,165.6202170358203,112.30666666666667,40.73847767872834,3698.3262352894353
FUNIEGAN,vid_000132_frame0000045.jpg,17.974358595461077,0.7614268782594692,170.0271079221704,115.51966820987654,41.44255132942932,4306.667296292486
